Date,VIX,NIFTY_return_%,USDINR_return_%,FII_net_cr,DII_net_cr
2025-02-03,14.14,-0.76,0.1713,303.41,724.29
2025-02-04,20.34,-0.11,-0.0719,270.18,-16.26
2025-02-05,14.02,0.53,0.3715,902.84,456.6
2025-02-06,8.38,0.73,-0.0716,85.43,443.53
2025-02-07,13.61,-1.76,-0.2228,-262.36,-83.42
2025-02-10,19.57,0.14,0.2591,248.45,156.25
2025-02-11,14.7,-0.71,-0.0564,483.52,599.69
2025-02-12,16.72,-1.13,-0.2583,512.85,445.55
2025-02-13,17.49,1.62,-0.4301,771.26,653.17
2025-02-14,16.99,-0.42,0.5476,490.19,243.96
2025-02-17,20.89,0.15,0.3842,167.3,531.59
2025-02-18,16.54,-1.02,0.0798,379.02,348.24
2025-02-19,19.37,0.67,-0.4085,204.24,98.56
2025-02-20,21.01,-0.63,1.149,292.7,-1.93
2025-02-21,18.97,-0.87,0.7827,726.19,558.11
2025-02-24,9.6,-0.86,0.5915,485.52,79.2
2025-02-25,14.97,0.91,0.2315,527.07,220.62
2025-02-26,16.2,1.84,-0.1128,997.31,435.16
2025-02-27,11.66,0.75,0.3804,563.98,-105.83
2025-02-28,17.69,-2.01,0.1643,152.31,15.72
